model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,model_encoded,transmission_encoded,fuelType_encoded
 GT86,0.0690321106349149,18621,Manual,-0.15842285025494987,Petrol,0.8261343041180772,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,17500,Manual,-0.6310406153361964,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-2.2196987147367557,11599,Automatic,0.537845662822162,Petrol,1.5317174211223104,-2.054357313734873,1.4918382953355727,6,0,3
 GT86,0.0690321106349149,17249,Manual,-0.7596842411309565,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-1.647516008393838,13000,Manual,1.3503841196109556,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,17250,Manual,-0.09612776114703955,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-0.5031505957080027,13999,Manual,-0.05580662470390583,Petrol,2.37841716152739,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-2.7918814210796734,11995,Manual,2.2918506546561894,Petrol,2.237300538126543,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-1.0753333020509204,13495,Manual,2.0073981929762335,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,19500,Manual,-0.9989087614037993,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 Corolla,1.2133975233207501,22500,Automatic,-0.9078128605507934,Other,0.6850176807172307,1.982406032402103,0.9772619415021313,5,0,2
 Corolla,1.2133975233207501,20250,Automatic,-0.9477073183014072,Hybrid,0.6850176807172307,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,21995,Automatic,-0.8521312911769421,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,18995,Manual,-1.3211934004871893,Petrol,0.7555759924176539,-2.1072406763480207,-0.566467119998193,5,1,3
 Corolla,1.2133975233207501,22498,Automatic,-0.7803781577181732,Hybrid,0.6144593690168073,1.3566195748131835,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,20998,Automatic,-0.8768075422276782,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,22520,Automatic,-0.9319913197935896,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,17440,Manual,-1.025860632147975,Petrol,0.7555759924176539,-2.1072406763480207,-0.566467119998193,5,1,3
 Corolla,1.2133975233207501,22990,Automatic,-0.8371264238233244,Hybrid,0.6144593690168073,1.3566195748131835,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,19998,Automatic,-1.335487136686607,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,23990,Automatic,-0.8015698661133299,Hybrid,0.6144593690168073,1.3566195748131835,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,19995,Automatic,-0.6125512053269992,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,24995,Automatic,-1.0860223277932857,Hybrid,0.6144593690168073,0.8189720549128444,1.4918382953355727,5,0,1
 Corolla,1.2133975233207501,24995,Automatic,-1.3811417567862398,Hybrid,0.6144593690168073,0.8189720549128444,1.4918382953355727,5,0,1
 Corolla,1.2133975233207501,23440,Automatic,-1.1215788855032802,Hybrid,0.6144593690168073,1.3566195748131835,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,21990,Automatic,-0.8173569777365675,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,20990,Automatic,-1.1215788855032802,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,19990,Automatic,-0.7304567506933409,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,21995,Automatic,-0.8300151122813255,Hybrid,0.6144593690168073,-0.37090360388298993,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,22070,Automatic,-0.8155080367356478,Hybrid,0.6144593690168073,1.3566195748131835,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,22490,Automatic,-0.8015698661133299,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,15990,Manual,-1.2282485586332637,Petrol,0.7555759924176539,-2.1072406763480207,-0.566467119998193,5,1,3
 Corolla,1.2133975233207501,21998,Automatic,-0.8354908221686647,Hybrid,0.6144593690168073,0.8189720549128444,1.4918382953355727,5,0,1
 Corolla,1.2133975233207501,22075,Automatic,-0.788485052876052,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,16995,Manual,-1.0146958730270368,Petrol,0.7555759924176539,-2.1072406763480207,-0.566467119998193,5,1,3
 Corolla,1.2133975233207501,18498,Manual,-1.1153920444617411,Petrol,0.7555759924176539,-2.1072406763480207,-0.566467119998193,5,1,3
 Corolla,1.2133975233207501,24998,Automatic,-1.0365987125763934,Hybrid,0.6850176807172307,0.8189720549128444,1.4918382953355727,5,0,1
 Corolla,1.2133975233207501,23500,Automatic,-1.1414905578208772,Hybrid,0.6144593690168073,1.3566195748131835,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,21750,Automatic,-1.2752543279258763,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,21000,Automatic,-0.665886041891991,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
 Corolla,1.2133975233207501,23000,Automatic,-0.9944286351323399,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,5,0,1
